idx,id,yr,binned_senti_score_assets,binned_senti_score_economy,binned_senti_score_expenses,binned_senti_score_govt.policy,binned_senti_score_industry,binned_senti_score_innovation,binned_senti_score_liquidity,binned_senti_score_margins,binned_senti_score_merges_acquisitions,binned_indicators_ratio,binned_senti_score_pricing,binned_senti_score_product.portfolio,binned_senti_score_ratio,binned_senti_score_recent.trends,binned_senti_score_recognition_awards,binned_senti_score_revenue,binned_senti_score_stocks,binned_y_target1,binned_y_target6,binned_y_target12
188,500125,2012,"(5,10]","(5,10]","(0,5]",NA,"(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
189,500125,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
190,500125,2014,"(10,15]","(0,5]","(0,5]","(5,10]","(10,15]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(10,15]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
191,500125,2015,"(10,15]","(15,20]","(0,5]",NA,"(15,20]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(10,15]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
192,500840,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
193,500840,2011,"(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
194,500840,2012,"(0,5]","(5,10]","(0,5]","(5,10]","(5,10]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
195,500840,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
196,500840,2014,"(0,5]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
197,500840,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
198,531162,2010,"(0,5]","(10,15]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(10,15]","(5,10]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
199,531162,2011,"(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(15,20]","(10,15]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
200,531162,2012,"(0,5]","(10,15]","(0,5]","(5,10]","(10,15]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(10,15]","(5,10]","(0,5]","(5,10]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
201,531162,2013,"(0,5]","(0,5]","(0,5]","(5,10]",NA,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(5,10]","(0,5]","(10,15]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
202,531162,2014,"(0,5]","(5,10]","(0,5]","(5,10]","(10,15]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(10,15]","(5,10]","(15,20]","(15,20]","(5,10]","(5,10]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
203,531162,2015,"(5,10]",NA,"(0,5]",NA,"(10,15]","(5,10]","(5,10]","(5,10]","(10,15]","(0,5]","(5,10]","(5,10]","(10,15]","(15,20]","(10,15]","(10,15]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
204,533261,2011,"(5,10]","(10,15]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(10,15]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
205,533261,2012,"(0,5]","(5,10]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
206,533261,2013,"(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(10,15]","(0,5]","(5,10]","(5,10]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
207,533261,2014,"(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(10,15]","(5,10]","(10,15]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
208,533261,2015,"(5,10]","(5,10]","(0,5]","(10,15]","(5,10]","(10,15]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(10,15]","(0,5]","(5,10]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
209,533704,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
210,533704,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
211,533704,2014,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
212,533704,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
213,532511,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
214,532511,2011,"(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
215,532511,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
216,532511,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
217,532511,2014,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
218,532511,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
219,532716,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
220,532716,2011,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
221,532716,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
222,532716,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
223,532716,2014,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
224,532716,2015,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
225,500660,2015,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
226,500660,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
227,500660,2011,"(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
228,500660,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
229,500660,2013,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
230,532296,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
231,532296,2011,"(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
232,532296,2012,"(5,10]","(15,20]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(15,20]","(5,10]",NA,"(10,15]","(10,15]","(5,10]","(5,10]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
233,532296,2013,"(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(15,20]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
234,532296,2014,"(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(15,20]","(15,20]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
235,532296,2015,"(10,15]","(0,5]","(5,10]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
236,532424,2011,"(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
237,532424,2012,"(5,10]","(15,20]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(10,15]","(5,10]","(5,10]","(5,10]","(5,10]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
238,532424,2013,"(0,5]","(0,5]","(0,5]","(15,20]","(0,5]",NA,"(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(10,15]","(0,5]","(5,10]","(5,10]","(5,10]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
239,532424,2014,"(5,10]","(5,10]","(0,5]","(5,10]","(5,10]",NA,"(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(10,15]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
240,532424,2015,"(5,10]","(10,15]","(0,5]",NA,"(10,15]","(15,20]","(0,5]","(5,10]","(10,15]","(0,5]","(5,10]","(0,5]",NA,"(5,10]","(5,10]","(15,20]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
241,533248,2011,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
242,533248,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
243,533248,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
244,500676,2014,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
245,500676,2015,"(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
246,500676,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
247,500676,2012,"(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
248,532775,2010,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
249,532775,2011,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
250,532775,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
251,532775,2013,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
252,532775,2014,"(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
253,532775,2015,"(0,5]","(5,10]","(0,5]","(10,15]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
254,532281,2010,"(10,15]","(5,10]","(0,5]",NA,"(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
255,532281,2011,"(0,5]","(10,15]","(0,5]",NA,"(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(10,15]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
256,532281,2012,"(5,10]","(10,15]","(0,5]","(15,20]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(15,20]","(0,5]","(10,15]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
257,532281,2013,"(0,5]","(10,15]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(10,15]","(15,20]","(5,10]","(15,20]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
258,532281,2014,"(5,10]","(0,5]","(0,5]","(15,20]","(5,10]","(10,15]","(0,5]","(0,5]","(10,15]","(0,5]","(5,10]","(10,15]","(15,20]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
259,532281,2015,"(5,10]","(0,5]","(0,5]","(10,15]","(0,5]","(5,10]","(0,5]","(0,5]","(15,20]","(10,15]","(5,10]","(15,20]","(10,15]","(0,5]","(10,15]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
260,500010,2010,"(0,5]","(0,5]","(0,5]","(15,20]","(5,10]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
261,500010,2011,"(0,5]","(10,15]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(15,20]","(10,15]","(0,5]","(5,10]","(15,20]","(5,10]","(5,10]",NA,"(5,10]",NA,"(20.8,26]","(20.8,26]","(20.8,26]"
262,500010,2012,"(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
263,500010,2013,"(0,5]","(0,5]","(0,5]","(10,15]","(5,10]",NA,"(5,10]","(5,10]","(15,20]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(15,20]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
264,500010,2014,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
265,500010,2015,"(0,5]","(0,5]","(5,10]","(10,15]","(5,10]",NA,"(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]",NA,"(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
266,500182,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
267,500182,2011,"(0,5]","(5,10]","(0,5]","(5,10]","(10,15]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
268,500182,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
269,500182,2013,"(0,5]","(5,10]","(0,5]","(5,10]","(10,15]","(10,15]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(10,15]","(5,10]","(15,20]","(0,5]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
270,500182,2014,"(0,5]","(15,20]","(0,5]","(10,15]",NA,NA,"(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(10,15]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
271,500182,2015,"(0,5]","(5,10]","(0,5]","(15,20]","(10,15]","(10,15]","(0,5]","(0,5]","(5,10]","(0,5]","(10,15]","(10,15]","(5,10]","(5,10]","(5,10]","(10,15]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
272,500696,2011,"(0,5]","(10,15]","(0,5]",NA,"(15,20]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(15,20]",NA,"(10,15]","(10,15]","(5,10]",NA,"(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
273,500696,2012,"(0,5]","(0,5]","(0,5]",NA,"(15,20]","(10,15]","(5,10]","(0,5]","(5,10]","(0,5]","(10,15]",NA,"(15,20]","(15,20]","(15,20]",NA,"(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
274,500696,2013,"(5,10]","(5,10]","(0,5]",NA,"(15,20]","(15,20]","(5,10]","(10,15]","(15,20]","(0,5]",NA,"(10,15]",NA,NA,"(5,10]","(15,20]","(10,15]","(10.5,15.6]","(10.5,15.6]","(10.5,15.6]"
275,500696,2014,"(5,10]","(0,5]","(0,5]",NA,"(5,10]",NA,"(5,10]","(5,10]","(15,20]","(0,5]",NA,"(15,20]","(15,20]",NA,"(15,20]",NA,"(10,15]","(10.5,15.6]","(10.5,15.6]","(10.5,15.6]"
276,500696,2015,"(0,5]","(10,15]","(0,5]",NA,"(5,10]",NA,"(5,10]","(0,5]","(10,15]","(0,5]","(15,20]","(10,15]","(10,15]",NA,"(15,20]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
277,532822,2010,"(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
278,532822,2011,"(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
279,532822,2012,"(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
280,532822,2013,"(10,15]","(0,5]","(0,5]","(5,10]","(0,5]","(15,20]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
281,532822,2014,"(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(15,20]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
282,532822,2015,"(10,15]","(0,5]","(0,5]","(5,10]","(5,10]","(10,15]","(0,5]","(0,5]","(15,20]","(0,5]","(5,10]","(10,15]",NA,"(5,10]","(0,5]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
